SecurityId,AsOfDate,FundId,Quantity,MarketValue
GOOGLE,12/07/2023,Fund2,503,3753.01314948252
MICROSOFT,06/11/2023,Fund1,972,3483.611945108025
APPLE,07/21/2023,Fund1,745,1106.8331211201537
AMAZON,11/20/2022,Fund4,152,7014.025508760693
GOOGLE,02/11/2024,Fund5,948,3432.7695058250633
MICROSOFT,07/21/2024,Fund1,372,4020.695305657434
MICROSOFT,11/18/2023,Fund4,792,9602.607422547231
MICROSOFT,12/11/2023,Fund2,903,3200.031733165917
GOOGLE,04/22/2024,Fund2,91,4412.048147548975
AMAZON,03/28/2024,Fund2,728,1367.2163796009763
AMAZON,01/18/2023,Fund2,335,6160.574365028209
GOOGLE,12/22/2023,Fund2,780,6949.52230418937
MICROSOFT,04/30/2023,Fund3,223,390.1302534719453
APPLE,10/04/2022,Fund1,946,8859.29474625506
AMAZON,07/05/2023,Fund4,327,6122.476343600315
GOOGLE,08/04/2024,Fund4,613,5543.264978583963
GOOGLE,02/15/2023,Fund2,997,8187.518061595382
FACEBOOK,11/11/2022,Fund4,715,8636.62034190016
APPLE,03/24/2024,Fund4,373,6435.733434850455
MICROSOFT,11/04/2022,Fund2,50,2356.342588251918
MICROSOFT,10/24/2022,Fund1,901,9731.428941049022
MICROSOFT,10/28/2023,Fund4,534,1651.5185449274582
FACEBOOK,12/14/2023,Fund1,419,3461.9057262938995
AMAZON,05/06/2023,Fund4,167,1649.9041640236821
AMAZON,12/06/2022,Fund5,877,6412.822131570252
GOOGLE,11/02/2022,Fund4,87,3965.911587327838
MICROSOFT,02/28/2023,Fund2,79,1109.8952205068842
GOOGLE,05/31/2024,Fund3,787,2963.7395345614086
FACEBOOK,07/08/2023,Fund2,177,3327.0612143805433
AMAZON,12/06/2022,Fund3,396,8711.785490010509
MICROSOFT,10/19/2023,Fund2,562,4645.064116845762
APPLE,01/21/2024,Fund1,194,3301.697692038402
AMAZON,01/14/2023,Fund3,497,6503.719017712731
AMAZON,01/05/2024,Fund3,305,7420.952536029693
FACEBOOK,02/01/2023,Fund1,84,4839.64409641698
MICROSOFT,01/27/2024,Fund2,699,111.06113225642962
APPLE,12/25/2022,Fund2,361,2559.7014176608623
