SecurityId,AsOfDate,FundId,Quantity,MarketValue
GOOGLE,03/26/2023,Fund1,851,4084.888022306653
FACEBOOK,06/15/2023,Fund4,125,5777.1746311331535
MICROSOFT,06/17/2023,Fund5,159,3700.9327313266035
AMAZON,12/21/2023,Fund1,130,1581.1727760938154
AMAZON,10/19/2022,Fund1,672,7065.2548661080245
AMAZON,12/28/2022,Fund3,181,3050.5641633586342
AMAZON,04/03/2023,Fund4,712,6610.743613884092
APPLE,12/15/2023,Fund2,796,8826.744759193212
FACEBOOK,11/03/2022,Fund4,58,4572.004617634117
AMAZON,04/16/2023,Fund4,763,6804.568143610151
APPLE,07/31/2024,Fund5,302,6353.385855063416
AMAZON,04/12/2023,Fund2,475,9915.394695387966
GOOGLE,04/19/2024,Fund5,177,9285.494659086216
FACEBOOK,03/20/2023,Fund1,569,4654.572691835126
MICROSOFT,08/11/2024,Fund5,346,7184.191493569366
GOOGLE,05/17/2024,Fund5,560,2722.405230261292
MICROSOFT,10/11/2022,Fund5,547,5319.609691660708
AMAZON,09/01/2023,Fund2,771,8414.636864073953
MICROSOFT,03/16/2024,Fund1,995,8422.484302844445
MICROSOFT,08/12/2023,Fund4,100,5867.633398275029
FACEBOOK,02/18/2024,Fund1,716,9579.57847036608
FACEBOOK,01/18/2024,Fund4,311,9409.974181638054
GOOGLE,11/12/2023,Fund3,800,1688.12325709079
GOOGLE,04/13/2024,Fund3,704,3368.1901958328604
AMAZON,05/17/2024,Fund2,614,5123.505933843106
FACEBOOK,03/31/2023,Fund1,497,171.0178893503904
MICROSOFT,02/27/2023,Fund5,604,2997.5312925586404
FACEBOOK,02/14/2024,Fund5,473,3634.1026317226515
MICROSOFT,03/08/2023,Fund2,970,245.15878954162537
GOOGLE,03/29/2024,Fund4,52,6845.084179350228
MICROSOFT,02/07/2024,Fund3,733,4164.40449060637
GOOGLE,04/07/2024,Fund4,669,9851.157139573213
MICROSOFT,07/03/2024,Fund2,475,2312.3490156137136
APPLE,12/26/2023,Fund2,915,9037.136883387553
APPLE,02/25/2023,Fund5,293,5676.435300077997
FACEBOOK,07/05/2024,Fund2,882,8132.8106177731715
GOOGLE,04/09/2024,Fund5,843,5731.23344597561
FACEBOOK,11/30/2022,Fund5,464,7975.522802465965
GOOGLE,10/11/2023,Fund4,931,6990.377454394303
FACEBOOK,06/12/2023,Fund2,993,9185.784143210085
MICROSOFT,01/14/2023,Fund2,831,8384.672773697883
FACEBOOK,09/19/2022,Fund5,451,9454.917002929295
FACEBOOK,12/26/2022,Fund5,238,9839.891406188513
MICROSOFT,11/06/2022,Fund5,341,179.51538902159703
APPLE,02/13/2023,Fund3,141,5281.844515883201
GOOGLE,12/10/2023,Fund4,993,5585.772377530803
GOOGLE,07/05/2024,Fund2,120,5021.999213980736
AMAZON,04/15/2024,Fund3,937,1605.4442173997354
GOOGLE,10/04/2023,Fund2,152,6837.3381141086575
MICROSOFT,03/21/2024,Fund5,568,8997.973933698206
MICROSOFT,03/08/2023,Fund1,169,8513.186127555067
GOOGLE,05/14/2024,Fund2,819,4170.493302769912
MICROSOFT,09/11/2024,Fund5,711,1773.6412713949805
APPLE,01/18/2024,Fund3,267,7511.727000698311
GOOGLE,09/16/2022,Fund4,829,3632.4369098051097
AMAZON,02/21/2023,Fund2,745,9860.881301960084
APPLE,02/23/2024,Fund2,118,2332.181685306363
AMAZON,03/20/2023,Fund1,144,5831.720694430997
FACEBOOK,03/16/2023,Fund3,524,7925.101338910774
GOOGLE,01/28/2023,Fund1,182,4950.223150637859
APPLE,03/30/2024,Fund4,852,9118.255255842918
APPLE,01/12/2024,Fund2,431,7741.416730295864
MICROSOFT,09/07/2023,Fund5,621,3272.540412419376
MICROSOFT,09/07/2023,Fund3,69,6675.616921530547
MICROSOFT,06/03/2023,Fund3,218,7646.307581824243
FACEBOOK,01/02/2023,Fund5,627,9136.939982579532
APPLE,05/08/2024,Fund5,408,9342.250798846215
FACEBOOK,02/22/2023,Fund1,87,3977.5747689501327
GOOGLE,10/28/2023,Fund1,177,7528.319135540186
GOOGLE,03/06/2023,Fund2,436,4982.5559748659625
APPLE,10/02/2022,Fund5,148,1938.5676311463628
MICROSOFT,06/24/2023,Fund4,336,3775.1373693096134
APPLE,11/02/2023,Fund4,203,1700.266062839792
MICROSOFT,09/23/2022,Fund5,118,7990.845423331542
GOOGLE,05/12/2023,Fund3,972,4198.760951854714
FACEBOOK,04/10/2024,Fund1,119,3329.0948059480625
APPLE,06/05/2024,Fund4,43,2732.3598532642036
APPLE,11/16/2023,Fund3,395,7323.471372904752
MICROSOFT,10/10/2023,Fund5,636,2285.7069378450383
GOOGLE,06/26/2023,Fund2,853,3432.2230895310877
FACEBOOK,12/09/2023,Fund4,319,4554.302717721439
APPLE,04/03/2023,Fund4,624,3318.699894821473
APPLE,07/09/2023,Fund3,933,1241.5815509506044
APPLE,01/23/2024,Fund1,366,7691.816936604172
MICROSOFT,06/12/2024,Fund3,35,1114.7367547227059
FACEBOOK,07/09/2023,Fund3,960,6969.2131924234545
AMAZON,11/21/2023,Fund1,154,754.5529880786388
FACEBOOK,05/21/2023,Fund2,245,47.992427599100445
GOOGLE,03/11/2023,Fund4,112,1200.664495830401
MICROSOFT,09/28/2023,Fund4,645,6974.244157663092
GOOGLE,02/12/2024,Fund4,432,3801.1070794349175
FACEBOOK,06/15/2023,Fund1,401,8966.380639372888
GOOGLE,07/28/2023,Fund2,690,5112.122043403075
MICROSOFT,09/10/2024,Fund3,981,7572.005411721204
FACEBOOK,03/25/2023,Fund1,87,5278.863427539552
GOOGLE,06/14/2024,Fund1,844,3157.5033809761435
GOOGLE,09/27/2023,Fund4,638,6593.577153589329
AMAZON,09/23/2022,Fund5,54,7160.281626554006
MICROSOFT,12/27/2023,Fund3,57,9382.665941296329
FACEBOOK,01/01/2024,Fund1,11,3200.2345035293633
