SecurityId,AsOfDate,FundId,Quantity,MarketValue
FACEBOOK,09/13/2023,Fund5,73,9681.603158443637
GOOGLE,09/12/2024,Fund5,223,4404.480668650802
FACEBOOK,08/26/2023,Fund2,101,1826.0488464203106
MICROSOFT,12/15/2022,Fund4,575,6239.751913118303
MICROSOFT,03/25/2023,Fund4,8,8659.385212252373
AMAZON,03/25/2024,Fund5,166,608.6205164741361
MICROSOFT,09/08/2023,Fund1,446,1900.2004496486738
GOOGLE,05/30/2024,Fund5,574,4515.83796369732
MICROSOFT,06/17/2023,Fund5,357,9622.417330160182
GOOGLE,06/15/2023,Fund5,53,395.4083928829682
APPLE,03/11/2024,Fund3,234,3974.8009670203983
GOOGLE,01/08/2023,Fund2,714,5563.825840579508
APPLE,01/30/2023,Fund2,270,9210.979073141016
APPLE,08/29/2024,Fund1,4,1966.955658516366
APPLE,04/21/2024,Fund3,651,1434.2766029967615
AMAZON,11/08/2022,Fund2,594,6317.890535102842
AMAZON,08/23/2024,Fund4,498,3527.843061668509
FACEBOOK,10/19/2022,Fund4,294,3315.7351968003086
MICROSOFT,09/30/2022,Fund3,553,48.25195795355769
AMAZON,04/27/2024,Fund5,353,630.2494832410191
MICROSOFT,09/30/2023,Fund3,829,235.43144756967706
GOOGLE,08/14/2024,Fund3,149,7128.82845721993
APPLE,08/08/2023,Fund3,441,3100.6938531348155
GOOGLE,04/25/2023,Fund4,5,4425.575472583555
AMAZON,11/07/2022,Fund2,621,8540.69800061344
APPLE,04/16/2023,Fund4,335,1808.154628328131
GOOGLE,06/28/2023,Fund5,225,416.0283884711598
GOOGLE,10/31/2022,Fund5,749,4871.032486897514
AMAZON,12/10/2023,Fund4,627,4257.021561135323
MICROSOFT,02/06/2024,Fund1,378,6853.878302917934
FACEBOOK,10/06/2022,Fund4,761,1523.9346767075697
GOOGLE,01/15/2024,Fund1,452,1534.1755437418353
FACEBOOK,10/12/2023,Fund4,302,3343.228177616284
AMAZON,10/30/2023,Fund2,228,3929.279906037347
FACEBOOK,01/13/2023,Fund4,687,3191.147477917489
GOOGLE,11/03/2023,Fund1,755,5654.226066730882
AMAZON,04/23/2024,Fund1,596,2348.6110948712003
FACEBOOK,07/10/2023,Fund3,839,9491.063140368444
AMAZON,05/05/2024,Fund5,761,9136.468689279336
FACEBOOK,04/03/2024,Fund1,483,142.76132017315982
MICROSOFT,09/21/2023,Fund1,443,3323.255455052184
FACEBOOK,11/25/2022,Fund3,857,8548.968129539671
FACEBOOK,10/23/2022,Fund4,25,5917.930913725016
