SecurityId,AsOfDate,FundId,Quantity,MarketValue
GOOGLE,07/27/2024,Fund3,523,1378.9329048512197
APPLE,09/21/2022,Fund4,347,2457.1749426289157
AMAZON,09/22/2023,Fund1,318,3437.653803855967
AMAZON,06/10/2023,Fund1,372,667.0282613050448
AMAZON,05/02/2024,Fund3,949,7894.703106184982
AMAZON,11/10/2023,Fund4,241,5029.396850678563
GOOGLE,02/11/2023,Fund1,140,3106.2193535314814
FACEBOOK,03/24/2024,Fund2,713,6628.605345112424
GOOGLE,08/07/2024,Fund3,996,4747.764191437755
FACEBOOK,02/10/2024,Fund4,982,3809.0717386685997
FACEBOOK,10/04/2022,Fund5,795,8824.425489817222
GOOGLE,10/16/2022,Fund5,658,6096.430850449106
MICROSOFT,12/01/2023,Fund3,919,1329.4660055920397
FACEBOOK,06/04/2023,Fund2,197,1528.2469423438745
APPLE,03/01/2024,Fund3,68,494.9887756252682
GOOGLE,04/12/2024,Fund4,979,4256.4736376911615
FACEBOOK,01/10/2024,Fund4,570,3687.3196239160975
FACEBOOK,01/30/2024,Fund1,355,4501.0928324551605
AMAZON,08/21/2024,Fund3,945,8740.37913732746
MICROSOFT,03/26/2024,Fund1,267,2799.1781854917076
MICROSOFT,06/04/2023,Fund3,177,4192.683644776575
AMAZON,08/02/2024,Fund3,517,23.913642324497243
FACEBOOK,06/26/2023,Fund5,296,8058.611910724897
MICROSOFT,09/04/2023,Fund1,108,6423.766866474835
FACEBOOK,08/14/2023,Fund5,269,2579.718229419517
APPLE,12/23/2023,Fund4,201,406.6559702011417
GOOGLE,02/24/2023,Fund4,861,4145.992572080865
MICROSOFT,10/14/2023,Fund1,371,854.3023507715336
APPLE,07/02/2024,Fund1,889,5630.917206700563
MICROSOFT,01/14/2024,Fund4,223,8612.220321614128
AMAZON,11/27/2022,Fund4,812,7560.012911583409
MICROSOFT,12/28/2023,Fund2,955,2658.0142692593495
MICROSOFT,03/24/2023,Fund5,926,657.550713852412
MICROSOFT,02/22/2023,Fund2,743,3281.88807460783
GOOGLE,07/21/2023,Fund4,587,7500.526420452495
FACEBOOK,04/24/2024,Fund3,466,2658.26944999273
GOOGLE,01/12/2024,Fund5,954,5148.667360575198
GOOGLE,06/04/2023,Fund1,451,3680.6264584030914
AMAZON,06/12/2023,Fund1,702,7462.276167389778
GOOGLE,01/23/2024,Fund5,784,7625.470016815959
AMAZON,07/04/2024,Fund2,366,1880.177958267675
FACEBOOK,10/19/2023,Fund2,618,6881.899379881171
GOOGLE,03/30/2024,Fund2,416,6099.878425676997
GOOGLE,03/07/2024,Fund5,597,637.294550834376
GOOGLE,01/17/2024,Fund1,5,4477.453961559991
APPLE,12/10/2022,Fund1,166,4254.568595323259
AMAZON,03/22/2023,Fund3,221,4523.519716900356
APPLE,09/06/2023,Fund4,426,76.39912746753909
APPLE,10/09/2023,Fund3,925,3615.4342026090667
APPLE,12/11/2022,Fund2,53,614.7236670274496
FACEBOOK,02/25/2024,Fund5,151,5359.488160648241
MICROSOFT,03/17/2023,Fund3,588,2345.226695592239
GOOGLE,04/20/2024,Fund4,396,1735.967536401502
AMAZON,11/02/2022,Fund4,445,3509.8251246265754
MICROSOFT,10/23/2022,Fund3,651,807.5084308997987
MICROSOFT,05/02/2024,Fund1,803,1748.473483536827
GOOGLE,08/01/2023,Fund4,507,7357.501274193238
FACEBOOK,06/14/2023,Fund1,304,4358.378141761251
AMAZON,02/25/2024,Fund1,768,1913.9322299484463
AMAZON,11/03/2022,Fund1,733,5385.443201150833
GOOGLE,01/22/2024,Fund1,887,1583.680192556753
APPLE,08/06/2024,Fund2,56,8464.86128585461
APPLE,06/15/2023,Fund2,584,2554.301558708281
GOOGLE,10/30/2023,Fund2,720,9180.246585334811
AMAZON,10/31/2023,Fund5,872,1425.0623560303245
GOOGLE,02/20/2024,Fund4,409,4290.2805686429165
APPLE,11/18/2022,Fund2,628,3575.402087356376
MICROSOFT,10/22/2023,Fund5,205,8293.36482771985
MICROSOFT,01/23/2024,Fund2,588,82.87536621897507
APPLE,03/06/2024,Fund1,875,3767.8482772777916
FACEBOOK,05/22/2023,Fund5,622,2724.9349698264236
MICROSOFT,08/12/2023,Fund1,628,8119.798816977942
AMAZON,11/29/2022,Fund5,979,8108.776271771292
APPLE,03/31/2023,Fund4,289,551.2853864249756
AMAZON,08/15/2023,Fund3,705,2652.981609368235
FACEBOOK,09/22/2023,Fund3,302,8176.765722955662
GOOGLE,03/17/2023,Fund3,387,9627.897834658135
GOOGLE,08/30/2023,Fund2,443,6266.845363454875
FACEBOOK,09/22/2023,Fund2,503,550.4352029965302
MICROSOFT,05/02/2023,Fund1,230,7511.091259311465
APPLE,07/25/2024,Fund3,284,6248.0745736756635
