SecurityId,AsOfDate,FundId,Quantity,MarketValue
MICROSOFT,11/19/2022,Fund5,940,618.3620831384488
APPLE,04/24/2023,Fund2,966,3904.973794288659
MICROSOFT,03/16/2023,Fund5,404,5541.207564719114
FACEBOOK,10/14/2023,Fund4,528,6125.481624155099
FACEBOOK,04/21/2024,Fund5,102,4634.966015972258
APPLE,02/24/2024,Fund2,817,3622.123801346367
FACEBOOK,07/11/2024,Fund3,615,9230.452632833047
MICROSOFT,09/15/2022,Fund2,270,1388.9315114190783
APPLE,08/07/2023,Fund5,922,2730.433607853036
MICROSOFT,03/25/2024,Fund3,655,6132.306700979417
MICROSOFT,12/28/2022,Fund5,932,360.46365999904015
AMAZON,06/03/2024,Fund1,474,8917.033519511202
AMAZON,06/06/2023,Fund5,467,6220.180082232094
AMAZON,04/29/2024,Fund2,169,5599.0249032792735
APPLE,05/26/2024,Fund5,457,2825.063360712909
AMAZON,02/26/2024,Fund1,601,5025.692397417934
APPLE,04/28/2023,Fund5,637,3758.9368081889565
APPLE,01/11/2024,Fund5,97,5084.854180089901
AMAZON,09/17/2022,Fund1,992,7135.069946957297
APPLE,06/28/2024,Fund5,27,2518.364563963894
APPLE,11/10/2023,Fund1,255,1583.9185034079603
APPLE,10/25/2023,Fund1,464,9099.491216972003
FACEBOOK,05/20/2023,Fund1,425,3276.078746384077
GOOGLE,01/16/2024,Fund5,846,9355.906519966326
MICROSOFT,07/01/2023,Fund3,206,6266.636726220868
FACEBOOK,06/15/2024,Fund3,742,7179.748730136922
GOOGLE,10/20/2022,Fund3,223,250.10453757737747
APPLE,06/04/2024,Fund3,29,460.69768697245695
GOOGLE,02/16/2023,Fund2,152,8505.859635187957
MICROSOFT,01/21/2024,Fund5,684,3786.808673583524
MICROSOFT,08/28/2024,Fund5,209,9407.364763354672
AMAZON,03/16/2024,Fund1,818,7082.823097660804
GOOGLE,01/13/2024,Fund3,761,5871.330257212211
AMAZON,02/17/2023,Fund4,766,2685.7597913486525
FACEBOOK,08/01/2023,Fund5,585,2784.1871028554815
GOOGLE,03/06/2023,Fund3,580,603.9132880943797
AMAZON,07/19/2024,Fund3,430,3642.2290286010466
AMAZON,10/20/2023,Fund1,741,1432.7411721126389
FACEBOOK,03/04/2023,Fund5,194,9992.150819493216
GOOGLE,12/15/2023,Fund1,989,7534.181719443297
MICROSOFT,05/19/2024,Fund5,799,4808.873102159863
FACEBOOK,01/23/2023,Fund3,511,9934.456043737202
APPLE,11/25/2023,Fund3,781,8895.745706508053
APPLE,09/06/2023,Fund3,107,2779.5553485320584
GOOGLE,11/30/2023,Fund4,27,3719.719092500011
